Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
83;6.1;0.8;0.5;3.5;2018-08-16 18:29:25.811441
77;6.1;0.8;0.5;2.5;2018-08-16 18:29:26.813080
94;5.1;0.8;0.5;1.5;2018-08-16 18:29:27.825247
99;4.1;0.8;0.5;1.5;2018-08-16 18:29:28.848714
97;4.1;0.8;0.5;3.5;2018-08-16 18:29:29.850146
84;6.1;0.8;0.5;2.5;2018-08-16 18:29:30.851341
92;4.1;0.8;0.5;1.5;2018-08-16 18:29:31.852535
87;6.1;0.8;0.5;2.5;2018-08-16 18:29:32.853368
88;6.1;0.8;0.5;3.5;2018-08-16 18:29:33.854722
98;5.1;0.8;0.5;1.5;2018-08-16 18:29:34.856167
84;6.1;0.8;0.5;1.5;2018-08-16 18:29:35.857615
74;4.1;0.8;0.5;1.5;2018-08-16 18:29:36.858918
96;4.1;0.8;0.5;3.5;2018-08-16 18:29:37.860178
