Heartrate;Speed;Cadence;Steplenght;Inclination
77;6.1;0.8;0.5;3.5;2018-06-05 10:26:17.858469
75;5.1;0.8;0.5;2.5;2018-06-05 10:26:18.859883
88;6.1;0.8;0.5;2.5;2018-06-05 10:26:19.861118
86;4.1;0.8;0.5;2.5;2018-06-05 10:26:20.862356
70;5.1;0.8;0.5;3.5;2018-06-05 10:26:21.863583
73;6.1;0.8;0.5;2.5;2018-06-05 10:26:22.864809
97;4.1;0.8;0.5;3.5;2018-06-05 10:26:23.866037
93;6.1;0.8;0.5;3.5;2018-06-05 10:26:24.866701
86;5.1;0.8;0.5;3.5;2018-06-05 10:26:25.867935
89;4.1;0.8;0.5;3.5;2018-06-05 10:26:26.869165
80;5.1;0.8;0.5;3.5;2018-06-05 10:26:27.870070
76;4.1;0.8;0.5;1.5;2018-06-05 10:26:28.871302
70;5.1;0.8;0.5;1.5;2018-06-05 10:26:29.872774
93;6.1;0.8;0.5;1.5;2018-06-05 10:26:30.874139
89;4.1;0.8;0.5;1.5;2018-06-05 10:26:31.874697
84;4.1;0.8;0.5;3.5;2018-06-05 10:26:32.875652
82;4.1;0.8;0.5;1.5;2018-06-05 10:26:33.876913
74;5.1;0.8;0.5;3.5;2018-06-05 10:26:34.877432
79;4.1;0.8;0.5;3.5;2018-06-05 10:26:35.877703
98;5.1;0.8;0.5;3.5;2018-06-05 10:26:36.877954
71;4.1;0.8;0.5;1.5;2018-06-05 10:26:37.878701
88;5.1;0.8;0.5;2.5;2018-06-05 10:26:38.879921
94;4.1;0.8;0.5;2.5;2018-06-05 10:26:39.881145
83;4.1;0.8;0.5;3.5;2018-06-05 10:26:40.882373
72;6.1;0.8;0.5;3.5;2018-06-05 10:26:41.882738
98;6.1;0.8;0.5;1.5;2018-06-05 10:26:42.884035
74;4.1;0.8;0.5;2.5;2018-06-05 10:26:43.885326
90;4.1;0.8;0.5;2.5;2018-06-05 10:26:44.886658
76;5.1;0.8;0.5;1.5;2018-06-05 10:26:45.887889
93;6.1;0.8;0.5;1.5;2018-06-05 10:26:46.889642
86;6.1;0.8;0.5;1.5;2018-06-05 10:26:47.890906
79;4.1;0.8;0.5;1.5;2018-06-05 10:26:48.892161
90;6.1;0.8;0.5;2.5;2018-06-05 10:26:49.892732
80;5.1;0.8;0.5;2.5;2018-06-05 10:26:50.893952
93;4.1;0.8;0.5;2.5;2018-06-05 10:26:51.894697
85;6.1;0.8;0.5;3.5;2018-06-05 10:26:52.895935
70;4.1;0.8;0.5;2.5;2018-06-05 10:26:53.897170
92;5.1;0.8;0.5;2.5;2018-06-05 10:26:54.898350
88;5.1;0.8;0.5;1.5;2018-06-05 10:26:55.899735
98;5.1;0.8;0.5;3.5;2018-06-05 10:26:56.900278
78;5.1;0.8;0.5;3.5;2018-06-05 10:26:57.901517
97;4.1;0.8;0.5;1.5;2018-06-05 10:26:58.902750
77;5.1;0.8;0.5;2.5;2018-06-05 10:26:59.903981
77;4.1;0.8;0.5;1.5;2018-06-05 10:27:00.904738
71;5.1;0.8;0.5;2.5;2018-06-05 10:27:01.906196
76;6.1;0.8;0.5;3.5;2018-06-05 10:27:02.908744
100;4.1;0.8;0.5;2.5;2018-06-05 10:27:03.909972
95;4.1;0.8;0.5;3.5;2018-06-05 10:27:04.910798
83;5.1;0.8;0.5;2.5;2018-06-05 10:27:05.912052
92;0.0;0.0;0.0;1.5;2018-06-05 10:27:06.913291
91;0.0;0.0;0.0;1.5;2018-06-05 10:27:07.914524
99;0.0;0.0;0.0;2.5;2018-06-05 10:27:08.915022
70;0.0;0.0;0.0;3.5;2018-06-05 10:27:09.916261
91;0.0;0.0;0.0;3.5;2018-06-05 10:27:10.917497
