Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
88;4.1;0.8;0.5;2.5;2018-07-23 10:05:57.989442
93;6.1;0.8;0.5;3.5;2018-07-23 10:06:00.193477
88;4.1;0.8;0.5;1.5;2018-07-23 10:06:01.194792
96;5.1;0.8;0.5;2.5;2018-07-23 10:06:02.195229
86;6.1;0.8;0.5;3.5;2018-07-23 10:06:03.196518
82;5.1;0.8;0.5;2.5;2018-07-23 10:06:04.197850
90;6.1;0.8;0.5;1.5;2018-07-23 10:06:05.199205
84;6.1;0.8;0.5;1.5;2018-07-23 10:06:06.200541
84;4.1;0.8;0.5;1.5;2018-07-23 10:06:07.201159
89;4.1;0.8;0.5;1.5;2018-07-23 10:06:08.202469
98;6.1;0.8;0.5;2.5;2018-07-23 10:06:09.203773
87;6.1;0.8;0.5;1.5;2018-07-23 10:06:10.205115
70;4.1;0.8;0.5;1.5;2018-07-23 10:06:11.206476
82;4.1;0.8;0.5;3.5;2018-07-23 10:06:12.207899
79;6.1;0.8;0.5;1.5;2018-07-23 10:06:13.209255
99;4.1;0.8;0.5;3.5;2018-07-23 10:06:14.210860
77;6.1;0.8;0.5;2.5;2018-07-23 10:06:15.211250
80;5.1;0.8;0.5;1.5;2018-07-23 10:06:16.212609
71;5.1;0.8;0.5;1.5;2018-07-23 10:06:17.224380
87;4.1;0.8;0.5;3.5;2018-07-23 10:06:18.225769
78;5.1;0.8;0.5;2.5;2018-07-23 10:06:19.227117
93;5.1;0.8;0.5;2.5;2018-07-23 10:06:20.227463
84;5.1;0.8;0.5;3.5;2018-07-23 10:06:21.228790
98;4.1;0.8;0.5;1.5;2018-07-23 10:06:22.230101
75;6.1;0.8;0.5;1.5;2018-07-23 10:06:23.231408
100;5.1;0.8;0.5;1.5;2018-07-23 10:06:24.232725
80;4.1;0.8;0.5;1.5;2018-07-23 10:06:25.234090
83;4.1;0.8;0.5;3.5;2018-07-23 10:06:26.241046
93;5.1;0.8;0.5;3.5;2018-07-23 10:06:27.242413
97;6.1;0.8;0.5;3.5;2018-07-23 10:06:28.243259
93;4.1;0.8;0.5;2.5;2018-07-23 10:06:29.244081
85;5.1;0.8;0.5;1.5;2018-07-23 10:06:30.245423
78;4.1;0.8;0.5;1.5;2018-07-23 10:06:31.246868
82;5.1;0.8;0.5;1.5;2018-07-23 10:06:32.248248
83;4.1;0.8;0.5;2.5;2018-07-23 10:06:33.249587
87;6.1;0.8;0.5;2.5;2018-07-23 10:06:34.250901
94;4.1;0.8;0.5;3.5;2018-07-23 10:06:35.252342
70;6.1;0.8;0.5;3.5;2018-07-23 10:06:36.253800
82;4.1;0.8;0.5;1.5;2018-07-23 10:06:37.255125
86;4.1;0.8;0.5;1.5;2018-07-23 10:06:38.256399
94;4.1;0.8;0.5;2.5;2018-07-23 10:06:39.257841
86;4.1;0.8;0.5;1.5;2018-07-23 10:06:40.259267
72;4.1;0.8;0.5;1.5;2018-07-23 10:06:41.260662
94;5.1;0.8;0.5;1.5;2018-07-23 10:06:42.262515
93;6.1;0.8;0.5;1.5;2018-07-23 10:06:43.263877
81;4.1;0.8;0.5;2.5;2018-07-23 10:06:44.273479
93;6.1;0.8;0.5;2.5;2018-07-23 10:06:45.274326
71;6.1;0.8;0.5;1.5;2018-07-23 10:06:46.280124
82;4.1;0.8;0.5;1.5;2018-07-23 10:06:47.281457
84;5.1;0.8;0.5;1.5;2018-07-23 10:06:48.282819
79;4.1;0.8;0.5;2.5;2018-07-23 10:06:49.284213
95;5.1;0.8;0.5;1.5;2018-07-23 10:06:50.285534
79;5.1;0.8;0.5;2.5;2018-07-23 10:06:51.287084
80;6.1;0.8;0.5;2.5;2018-07-23 10:06:52.287930
74;5.1;0.8;0.5;3.5;2018-07-23 10:06:53.289265
93;5.1;0.8;0.5;3.5;2018-07-23 10:06:54.290572
86;6.1;0.8;0.5;2.5;2018-07-23 10:06:55.291900
74;5.1;0.8;0.5;1.5;2018-07-23 10:06:56.293221
71;4.1;0.8;0.5;2.5;2018-07-23 10:06:57.294524
76;4.1;0.8;0.5;3.5;2018-07-23 10:06:58.295230
80;5.1;0.8;0.5;1.5;2018-07-23 10:06:59.296552
71;5.1;0.8;0.5;2.5;2018-07-23 10:07:00.297855
83;5.1;0.8;0.5;2.5;2018-07-23 10:07:01.299157
85;5.1;0.8;0.5;1.5;2018-07-23 10:07:02.300474
80;6.1;0.8;0.5;2.5;2018-07-23 10:07:03.301826
100;6.1;0.8;0.5;1.5;2018-07-23 10:07:04.303183
87;5.1;0.8;0.5;2.5;2018-07-23 10:07:05.313891
82;4.1;0.8;0.5;3.5;2018-07-23 10:07:06.315234
79;4.1;0.8;0.5;1.5;2018-07-23 10:07:07.316638
91;5.1;0.8;0.5;3.5;2018-07-23 10:07:08.318018
78;5.1;0.8;0.5;3.5;2018-07-23 10:07:09.319381
76;4.1;0.8;0.5;2.5;2018-07-23 10:07:10.320718
79;4.1;0.8;0.5;1.5;2018-07-23 10:07:11.322043
79;5.1;0.8;0.5;1.5;2018-07-23 10:07:12.323567
79;6.1;0.8;0.5;3.5;2018-07-23 10:07:13.324901
90;6.1;0.8;0.5;1.5;2018-07-23 10:07:14.326227
83;5.1;0.8;0.5;3.5;2018-07-23 10:07:15.327623
99;5.1;0.8;0.5;2.5;2018-07-23 10:07:16.329140
73;5.1;0.8;0.5;1.5;2018-07-23 10:07:17.330460
74;6.1;0.8;0.5;3.5;2018-07-23 10:07:18.331223
89;6.1;0.8;0.5;2.5;2018-07-23 10:07:19.332550
70;6.1;0.8;0.5;3.5;2018-07-23 10:07:20.333872
76;5.1;0.8;0.5;2.5;2018-07-23 10:07:21.334502
78;6.1;0.8;0.5;1.5;2018-07-23 10:07:22.335793
79;6.1;0.8;0.5;3.5;2018-07-23 10:07:23.337130
79;6.1;0.8;0.5;3.5;2018-07-23 10:07:24.338475
70;6.1;0.8;0.5;3.5;2018-07-23 10:07:25.339449
73;6.1;0.8;0.5;1.5;2018-07-23 10:07:26.350645
94;6.1;0.8;0.5;2.5;2018-07-23 10:07:27.351368
74;6.1;0.8;0.5;3.5;2018-07-23 10:07:28.352764
76;5.1;0.8;0.5;3.5;2018-07-23 10:07:29.354122
91;6.1;0.8;0.5;1.5;2018-07-23 10:07:30.355476
94;6.1;0.8;0.5;3.5;2018-07-23 10:07:31.356829
83;6.1;0.8;0.5;3.5;2018-07-23 10:07:32.358213
91;6.1;0.8;0.5;1.5;2018-07-23 10:07:33.359571
97;5.1;0.8;0.5;2.5;2018-07-23 10:07:34.361062
74;4.1;0.8;0.5;3.5;2018-07-23 10:07:35.362391
84;6.1;0.8;0.5;2.5;2018-07-23 10:07:36.363715
86;5.1;0.8;0.5;1.5;2018-07-23 10:07:37.365036
89;6.1;0.8;0.5;3.5;2018-07-23 10:07:38.366363
87;4.1;0.8;0.5;3.5;2018-07-23 10:07:39.367226
86;5.1;0.8;0.5;2.5;2018-07-23 10:07:40.368539
79;4.1;0.8;0.5;1.5;2018-07-23 10:07:41.369862
100;5.1;0.8;0.5;3.5;2018-07-23 10:07:42.379042
96;4.1;0.8;0.5;1.5;2018-07-23 10:07:43.380419
77;6.1;0.8;0.5;1.5;2018-07-23 10:07:44.381691
85;4.1;0.8;0.5;2.5;2018-07-23 10:07:45.382200
73;5.1;0.8;0.5;3.5;2018-07-23 10:07:46.383534
100;6.1;0.8;0.5;3.5;2018-07-23 10:07:47.384844
71;6.1;0.8;0.5;2.5;2018-07-23 10:07:48.386142
71;4.1;0.8;0.5;3.5;2018-07-23 10:07:49.387235
74;4.1;0.8;0.5;2.5;2018-07-23 10:07:50.388544
83;6.1;0.8;0.5;1.5;2018-07-23 10:07:51.395976
87;6.1;0.8;0.5;1.5;2018-07-23 10:07:52.397349
79;5.1;0.8;0.5;1.5;2018-07-23 10:07:53.398685
87;5.1;0.8;0.5;2.5;2018-07-23 10:07:54.399998
73;5.1;0.8;0.5;2.5;2018-07-23 10:07:55.401334
84;4.1;0.8;0.5;2.5;2018-07-23 10:07:56.402828
77;6.1;0.8;0.5;2.5;2018-07-23 10:07:57.403208
84;4.1;0.8;0.5;2.5;2018-07-23 10:07:58.404059
77;4.1;0.8;0.5;1.5;2018-07-23 10:07:59.405390
97;4.1;0.8;0.5;3.5;2018-07-23 10:08:00.406307
71;5.1;0.8;0.5;3.5;2018-07-23 10:08:01.407686
93;5.1;0.8;0.5;1.5;2018-07-23 10:08:02.409024
84;6.1;0.8;0.5;3.5;2018-07-23 10:08:03.410393
92;4.1;0.8;0.5;1.5;2018-07-23 10:08:04.411249
90;4.1;0.8;0.5;2.5;2018-07-23 10:08:05.418274
72;6.1;0.8;0.5;1.5;2018-07-23 10:08:06.419623
86;6.1;0.8;0.5;2.5;2018-07-23 10:08:07.420976
80;6.1;0.8;0.5;3.5;2018-07-23 10:08:08.422264
85;6.1;0.8;0.5;1.5;2018-07-23 10:08:09.423565
78;6.1;0.8;0.5;3.5;2018-07-23 10:08:10.424869
74;5.1;0.8;0.5;2.5;2018-07-23 10:08:11.426188
93;6.1;0.8;0.5;3.5;2018-07-23 10:08:12.427521
97;6.1;0.8;0.5;1.5;2018-07-23 10:08:13.428846
97;4.1;0.8;0.5;3.5;2018-07-23 10:08:14.433818
87;5.1;0.8;0.5;3.5;2018-07-23 10:08:15.435185
89;5.1;0.8;0.5;2.5;2018-07-23 10:08:16.436016
86;5.1;0.8;0.5;2.5;2018-07-23 10:08:17.437325
71;6.1;0.8;0.5;3.5;2018-07-23 10:08:18.438681
73;6.1;0.8;0.5;1.5;2018-07-23 10:08:19.439204
82;5.1;0.8;0.5;1.5;2018-07-23 10:08:20.440520
87;5.1;0.8;0.5;1.5;2018-07-23 10:08:21.442187
99;5.1;0.8;0.5;2.5;2018-07-23 10:08:22.443515
75;4.1;0.8;0.5;1.5;2018-07-23 10:08:23.444893
74;4.1;0.8;0.5;2.5;2018-07-23 10:08:24.446235
84;4.1;0.8;0.5;1.5;2018-07-23 10:08:25.447532
93;5.1;0.8;0.5;3.5;2018-07-23 10:08:26.448821
92;5.1;0.8;0.5;2.5;2018-07-23 10:08:27.450174
70;5.1;0.8;0.5;1.5;2018-07-23 10:08:28.451307
100;4.1;0.8;0.5;2.5;2018-07-23 10:08:29.452864
74;5.1;0.8;0.5;1.5;2018-07-23 10:08:30.454253
74;4.1;0.8;0.5;3.5;2018-07-23 10:08:31.455581
72;4.1;0.8;0.5;1.5;2018-07-23 10:08:32.467001
86;4.1;0.8;0.5;1.5;2018-07-23 10:08:33.468541
92;4.1;0.8;0.5;3.5;2018-07-23 10:08:34.470002
86;4.1;0.8;0.5;1.5;2018-07-23 10:08:35.471402
78;6.1;0.8;0.5;3.5;2018-07-23 10:08:36.472740
78;5.1;0.8;0.5;2.5;2018-07-23 10:08:37.474067
96;5.1;0.8;0.5;3.5;2018-07-23 10:08:38.475231
76;6.1;0.8;0.5;1.5;2018-07-23 10:08:39.476568
75;6.1;0.8;0.5;1.5;2018-07-23 10:08:40.477211
96;6.1;0.8;0.5;2.5;2018-07-23 10:08:41.478533
88;6.1;0.8;0.5;1.5;2018-07-23 10:08:42.479870
77;4.1;0.8;0.5;1.5;2018-07-23 10:08:43.481196
98;4.1;0.8;0.5;1.5;2018-07-23 10:08:44.482548
83;5.1;0.8;0.5;2.5;2018-07-23 10:08:45.483253
99;4.1;0.8;0.5;2.5;2018-07-23 10:08:46.484596
75;4.1;0.8;0.5;1.5;2018-07-23 10:08:47.485939
81;6.1;0.8;0.5;2.5;2018-07-23 10:08:48.487264
70;6.1;0.8;0.5;1.5;2018-07-23 10:08:49.488588
93;6.1;0.8;0.5;2.5;2018-07-23 10:08:50.489857
88;6.1;0.8;0.5;1.5;2018-07-23 10:08:51.491177
