Heartrate;Speed;Cadence;Steplenght;Inclination
99;4.1;0.8;0.5;3.5;2018-05-15 12:30:48.884969
72;4.1;0.8;0.5;1.5;2018-05-15 12:30:49.886265
80;6.1;0.8;0.5;3.5;2018-05-15 12:30:50.887471
88;5.1;0.8;0.5;3.5;2018-05-15 12:30:51.888678
73;5.1;0.8;0.5;2.5;2018-05-15 12:30:52.889882
100;6.1;0.8;0.5;3.5;2018-05-15 12:30:53.891093
71;6.1;0.8;0.5;3.5;2018-05-15 12:30:54.892221
91;6.1;0.8;0.5;3.5;2018-05-15 12:30:55.893430
95;5.1;0.8;0.5;3.5;2018-05-15 12:30:56.894631
85;5.1;0.8;0.5;2.5;2018-05-15 12:30:57.895843
84;5.1;0.8;0.5;3.5;2018-05-15 12:30:58.897210
84;5.1;0.8;0.5;3.5;2018-05-15 12:30:59.898439
90;6.1;0.8;0.5;2.5;2018-05-15 12:31:00.899646
90;5.1;0.8;0.5;1.5;2018-05-15 12:31:01.900362
84;5.1;0.8;0.5;3.5;2018-05-15 12:31:02.901570
74;6.1;0.8;0.5;1.5;2018-05-15 12:31:03.902777
85;4.1;0.8;0.5;3.5;2018-05-15 12:31:04.903983
87;6.1;0.8;0.5;2.5;2018-05-15 12:31:05.905185
99;4.1;0.8;0.5;2.5;2018-05-15 12:31:06.906389
82;6.1;0.8;0.5;1.5;2018-05-15 12:31:07.907672
70;4.1;0.8;0.5;2.5;2018-05-15 12:31:08.908880
74;6.1;0.8;0.5;1.5;2018-05-15 12:31:09.910085
95;4.1;0.8;0.5;2.5;2018-05-15 12:31:10.911308
74;4.1;0.8;0.5;2.5;2018-05-15 12:31:11.912517
86;6.1;0.8;0.5;3.5;2018-05-15 12:31:12.913726
89;5.1;0.8;0.5;3.5;2018-05-15 12:31:13.914932
90;4.1;0.8;0.5;1.5;2018-05-15 12:31:14.916144
84;4.1;0.8;0.5;1.5;2018-05-15 12:31:15.916909
88;6.1;0.8;0.5;2.5;2018-05-15 12:31:16.917172
76;6.1;0.8;0.5;1.5;2018-05-15 12:31:17.918425
74;5.1;0.8;0.5;2.5;2018-05-15 12:31:18.919644
88;4.1;0.8;0.5;3.5;2018-05-15 12:31:19.920856
97;4.1;0.8;0.5;3.5;2018-05-15 12:31:20.922086
75;5.1;0.8;0.5;2.5;2018-05-15 12:31:21.923310
96;5.1;0.8;0.5;2.5;2018-05-15 12:31:22.924526
82;5.1;0.8;0.5;2.5;2018-05-15 12:31:23.925738
88;6.1;0.8;0.5;2.5;2018-05-15 12:31:24.926945
70;4.1;0.8;0.5;1.5;2018-05-15 12:31:25.927953
75;6.1;0.8;0.5;2.5;2018-05-15 12:31:26.929162
80;6.1;0.8;0.5;3.5;2018-05-15 12:31:27.930377
94;6.1;0.8;0.5;2.5;2018-05-15 12:31:28.931585
81;4.1;0.8;0.5;3.5;2018-05-15 12:31:29.932825
79;6.1;0.8;0.5;3.5;2018-05-15 12:31:30.933498
70;4.1;0.8;0.5;1.5;2018-05-15 12:31:31.934714
81;4.1;0.8;0.5;2.5;2018-05-15 12:31:32.935933
83;6.1;0.8;0.5;3.5;2018-05-15 12:31:33.937139
74;6.1;0.8;0.5;3.5;2018-05-15 12:31:34.938214
81;4.1;0.8;0.5;2.5;2018-05-15 12:31:35.939459
77;5.1;0.8;0.5;3.5;2018-05-15 12:31:36.939987
91;4.1;0.8;0.5;2.5;2018-05-15 12:31:37.941202
78;5.1;0.8;0.5;1.5;2018-05-15 12:31:38.942413
88;5.1;0.8;0.5;2.5;2018-05-15 12:31:39.943623
100;6.1;0.8;0.5;3.5;2018-05-15 12:31:40.944833
84;6.1;0.8;0.5;3.5;2018-05-15 12:31:41.946036
78;6.1;0.8;0.5;2.5;2018-05-15 12:31:42.946665
70;6.1;0.8;0.5;2.5;2018-05-15 12:31:43.947876
89;6.1;0.8;0.5;1.5;2018-05-15 12:31:44.949076
88;4.1;0.8;0.5;1.5;2018-05-15 12:31:45.950041
86;4.1;0.8;0.5;2.5;2018-05-15 12:31:46.951279
76;5.1;0.8;0.5;1.5;2018-05-15 12:31:47.952489
98;4.1;0.8;0.5;2.5;2018-05-15 12:31:48.953695
99;4.1;0.8;0.5;3.5;2018-05-15 12:31:49.954903
71;4.1;0.8;0.5;2.5;2018-05-15 12:31:50.956113
87;5.1;0.8;0.5;3.5;2018-05-15 12:31:51.957325
92;4.1;0.8;0.5;2.5;2018-05-15 12:31:52.958530
72;4.1;0.8;0.5;1.5;2018-05-15 12:31:53.959728
70;4.1;0.8;0.5;1.5;2018-05-15 12:31:54.959956
94;4.1;0.8;0.5;2.5;2018-05-15 12:31:55.960216
71;6.1;0.8;0.5;3.5;2018-05-15 12:31:56.961421
83;5.1;0.8;0.5;1.5;2018-05-15 12:31:57.962622
84;5.1;0.8;0.5;1.5;2018-05-15 12:31:58.963766
99;5.1;0.8;0.5;2.5;2018-05-15 12:31:59.964975
78;6.1;0.8;0.5;3.5;2018-05-15 12:32:00.965926
90;5.1;0.8;0.5;2.5;2018-05-15 12:32:01.966789
82;5.1;0.8;0.5;1.5;2018-05-15 12:32:02.967328
72;4.1;0.8;0.5;1.5;2018-05-15 12:32:03.968512
97;4.1;0.8;0.5;2.5;2018-05-15 12:32:04.969475
96;4.1;0.8;0.5;3.5;2018-05-15 12:32:05.970045
71;6.1;0.8;0.5;3.5;2018-05-15 12:32:06.971100
84;4.1;0.8;0.5;2.5;2018-05-15 12:32:07.972310
85;5.1;0.8;0.5;2.5;2018-05-15 12:32:08.973480
78;4.1;0.8;0.5;1.5;2018-05-15 12:32:09.973745
74;4.1;0.8;0.5;2.5;2018-05-15 12:32:10.974958
70;4.1;0.8;0.5;2.5;2018-05-15 12:32:11.976303
85;6.1;0.8;0.5;1.5;2018-05-15 12:32:12.977528
87;4.1;0.8;0.5;2.5;2018-05-15 12:32:13.978743
77;4.1;0.8;0.5;3.5;2018-05-15 12:32:14.979948
85;4.1;0.8;0.5;3.5;2018-05-15 12:32:15.981214
94;6.1;0.8;0.5;1.5;2018-05-15 12:32:16.982427
93;5.1;0.8;0.5;1.5;2018-05-15 12:32:17.983640
80;5.1;0.8;0.5;3.5;2018-05-15 12:32:18.984504
