Heartrate;Speed;Cadence;Steplenght;Inclination
91;6.1;0.8;0.5;1.5;2018-05-21 16:03:44.805140
88;5.1;0.8;0.5;3.5;2018-05-21 16:03:45.806508
100;4.1;0.8;0.5;1.5;2018-05-21 16:03:46.807749
79;5.1;0.8;0.5;2.5;2018-05-21 16:03:47.808897
98;6.1;0.8;0.5;1.5;2018-05-21 16:03:48.810143
72;5.1;0.8;0.5;2.5;2018-05-21 16:03:49.811357
85;6.1;0.8;0.5;1.5;2018-05-21 16:03:50.812568
100;4.1;0.8;0.5;1.5;2018-05-21 16:03:51.813931
87;5.1;0.8;0.5;1.5;2018-05-21 16:03:52.815146
72;5.1;0.8;0.5;1.5;2018-05-21 16:03:53.816352
88;5.1;0.8;0.5;2.5;2018-05-21 16:03:54.817572
92;5.1;0.8;0.5;3.5;2018-05-21 16:03:55.818783
85;4.1;0.8;0.5;2.5;2018-05-21 16:03:56.819994
81;5.1;0.8;0.5;2.5;2018-05-21 16:03:57.821202
70;4.1;0.8;0.5;1.5;2018-05-21 16:03:58.822412
100;5.1;0.8;0.5;3.5;2018-05-21 16:03:59.823607
74;5.1;0.8;0.5;2.5;2018-05-21 16:04:00.824807
75;4.1;0.8;0.5;1.5;2018-05-21 16:04:01.826006
86;4.1;0.8;0.5;3.5;2018-05-21 16:04:02.827192
92;5.1;0.8;0.5;3.5;2018-05-21 16:04:03.828380
84;4.1;0.8;0.5;1.5;2018-05-21 16:04:04.829569
84;6.1;0.8;0.5;3.5;2018-05-21 16:04:05.830762
80;4.1;0.8;0.5;3.5;2018-05-21 16:04:06.831956
83;4.1;0.8;0.5;3.5;2018-05-21 16:04:07.833150
97;4.1;0.8;0.5;2.5;2018-05-21 16:04:08.834371
90;6.1;0.8;0.5;1.5;2018-05-21 16:04:09.835565
73;5.1;0.8;0.5;1.5;2018-05-21 16:04:10.836754
93;6.1;0.8;0.5;1.5;2018-05-21 16:04:11.837947
97;5.1;0.8;0.5;3.5;2018-05-21 16:04:12.838567
81;6.1;0.8;0.5;1.5;2018-05-21 16:04:13.839076
75;0.0;0.0;0.0;2.5;2018-05-21 16:04:14.840272
84;0.0;0.0;0.0;1.5;2018-05-21 16:04:15.841463
95;0.0;0.0;0.0;1.5;2018-05-21 16:04:16.842656
94;0.0;0.0;0.0;3.5;2018-05-21 16:04:17.843851
77;0.0;0.0;0.0;3.5;2018-05-21 16:04:18.845060
99;0.0;0.0;0.0;1.5;2018-05-21 16:04:19.846303
