Heartrate;Speed;Cadence;Steplenght;Inclination
90;6.1;0.8;0.5;3.5;2018-05-21 15:25:21.364336
98;6.1;0.8;0.5;3.5;2018-05-21 15:25:22.365650
95;5.1;0.8;0.5;1.5;2018-05-21 15:25:23.366025
95;5.1;0.8;0.5;2.5;2018-05-21 15:25:24.367310
95;5.1;0.8;0.5;2.5;2018-05-21 15:25:25.368533
71;6.1;0.8;0.5;3.5;2018-05-21 15:25:26.369549
83;0.0;0.0;0.0;1.5;2018-05-21 15:25:27.370781
74;0.0;0.0;0.0;2.5;2018-05-21 15:25:28.371539
72;0.0;0.0;0.0;1.5;2018-05-21 15:25:29.372745
91;0.0;0.0;0.0;1.5;2018-05-21 15:25:30.373559
92;0.0;0.0;0.0;3.5;2018-05-21 15:25:31.374763
